"1","1","361","950"
"161","1","361","929"
"1","1","319","950"
"161","65","361","929"
"1","1","220","523"
"138","1","361","950"
"167","1","361","448"
"161","374","319","929"
"192","65","361","880"
"239","89","361","880"
"1","201","218","523"
"1","1","218","950"
"141","1","361","582"
"192","65","305","563"
"138","179","361","950"
"298","89","361","880"
"1","1","218","711"
"141","1","331","582"
"1","1","220","381"
"222","340","286","399"
"1","1","208","215"
"141","1","239","281"
"220","308","285","337"
"1","14","116","453"
"1","1","197","711"
"141","1","208","215"
"192","65","299","465"
"76","189","220","381"
"98","319","218","506"
"115","374","172","471"
"137","375","187","439"
"295","1","361","495"
"1","201","121","513"
"237","103","283","242"
"161","374","319","711"
"167","1","326","279"
"113","319","218","506"
"146","366","218","506"
"165","179","361","950"
"237","65","299","374"
"192","178","290","465"
"1","201","121","470"
"145","1","331","582"
"65","8","197","215"
"145","1","331","563"
"187","1","331","481"
"1","89","196","711"
"79","319","218","523"
"187","1","295","267"
"1","1","208","100"
"299","179","361","608"
"333","241","361","579"
"1","1","197","184"
"122","9","197","32"
"15","1","208","100"
"298","89","361","608"
"1","1","186","184"
"237","65","299","331"
"237","184","299","331"
"94","231","196","334"
"113","319","196","375"
"334","144","361","495"
"161","374","287","582"
"267","1","361","448"
"299","179","346","608"
"145","133","305","563"
"1","218","121","470"
"145","184","305","563"
"240","65","295","211"
"119","231","196","334"
"178","383","197","506"
"183","389","196","506"
"65","28","186","215"
"115","374","172","466"
"1","1","79","21"
"167","1","239","279"
"1","89","195","711"
"1","203","87","435"
"1","334","77","453"
"83","8","197","95"
"125","231","174","321"
"83","8","176","95"
"83","26","152","95"
"83","26","151","95"
"83","26","151","93"
"119","223","220","354"
"99","8","176","32"
"125","252","174","321"
"303","89","361","495"
"1","14","116","373"
"333","241","361","512"
"237","184","299","374"
"106","28","186","215"
"137","375","172","439"
"161","374","287","575"
"181","374","287","566"
"145","257","305","563"
"298","240","346","608"
"1","177","102","373"
"224","395","285","559"
"1","177","102","322"
"333","340","361","512"
"1","198","102","322"
"1","198","92","221"
"76","189","177","381"
"304","240","339","512"
"83","1","186","184"
"341","161","361","495"
"83","8","186","184"
"65","1","208","54"
"1","1","106","57"
"1","1","79","57"
"298","372","346","608"
"269","1","331","481"
"86","329","133","381"
"83","26","186","184"
"83","26","182","184"
"187","1","326","230"
"76","189","177","341"
"161","374","275","582"
"1","383","195","711"
"1","383","195","594"
"79","374","195","523"
"119","28","186","50"
"15","14","116","100"
"192","178","290","454"
"1","1","40","21"
"113","319","218","384"
"1","19","104","198"
"65","96","162","204"
"115","374","166","466"
"119","238","220","354"
"138","238","220","313"
"28","218","105","322"
"1","89","177","470"
"79","206","145","277"
"1","271","144","470"
"295","1","361","368"
"167","1","224","237"
